time,value,rainfall
23583,2.00,0.01
23603,0.00,0.01
23622,0.00,0.01
23642,1.00,0.01
23662,3.00,0.01
23682,1.00,0.01
23701,1.00,0.01
23721,0.00,0.01
23741,0.00,0.01
23760,4.00,0.01
23780,837.00,0.01
23802,0.00,0.01
23822,0.00,0.01
23841,2.00,0.01
23862,1.00,0.01
23881,2.00,0.01
23901,0.00,0.01
23921,0.00,0.01
23941,1.00,0.01
23960,2.00,0.01
23980,2.00,0.01
24000,0.00,0.01
24019,0.00,0.01
24039,0.00,0.01
24059,2.00,0.01
24079,2.00,0.01
24098,1.00,0.01
24119,0.00,0.01
24138,0.00,0.01
24158,3.00,0.01
24177,1.00,0.01
24198,1.00,0.01
24217,0.00,0.01
24237,0.00,0.01
24257,680.00,0.01
24279,2.00,0.01
24298,2.00,0.01
24318,0.00,0.01
24338,0.00,0.01
24357,0.00,0.01
24377,2.00,0.01
24397,3.00,0.01
24417,1.00,0.01
24436,0.00,0.01
24457,609.00,0.01
24478,3.00,0.01
24498,1.00,0.01
24518,0.00,0.01
24538,0.00,0.01
24557,1.00,0.01
24577,2.00,0.01
24597,2.00,0.01
24616,1.00,0.01
24636,1.00,0.01
24656,0.00,0.01
24676,2.00,0.01
24695,3.00,0.01
24716,1.00,0.01
24735,1.00,0.01
24755,1.00,0.01
24774,2.00,0.01
24795,3.00,0.01
24814,1.00,0.01
24834,1.00,0.01
24854,0.00,0.01
24873,1.00,0.01
24893,3.00,0.01
24912,3.00,0.01
24933,2.00,0.01
24952,0.00,0.01
24972,1.00,0.01
24992,1.00,0.01
25012,2.00,0.01
25031,1.00,0.01
25052,1.00,0.01
25071,0.00,0.01
25091,1.00,0.01
25110,2.00,0.01
25131,2.00,0.01
25150,0.00,0.01
25169,0.00,0.01
25190,1.00,0.01
25209,2.00,0.01
25229,1.00,0.01
25249,0.00,0.01
25269,0.00,0.01
25288,0.00,0.01
25308,1.00,0.01
25328,1.00,0.01
25348,0.00,0.01
25367,0.00,0.01
25388,0.00,0.01
25407,0.00,0.01
25426,1.00,0.01
25447,2.00,0.01
25466,1.00,0.01
25486,1.00,0.01
25505,0.00,0.01
25526,2.00,0.01
25545,2.00,0.01
25565,1.00,0.01
25585,0.00,0.01
25605,0.00,0.01
25624,2.00,0.01
25644,2.00,0.01
25664,1.00,0.01
25683,0.00,0.01
25703,0.00,0.01
25723,0.00,0.01
25743,2.00,0.01
25762,2.00,0.01
25783,0.00,0.01
25802,0.00,0.01
25822,0.00,0.01
25841,2.00,0.01
25862,2.00,0.01
25881,1.00,0.01
25901,1.00,0.01
25921,0.00,0.01
25940,1.00,0.01
25960,2.00,0.01
25980,3.00,0.01
26000,0.00,0.01
26019,0.00,0.01
26039,1.00,0.01
26059,2.00,0.01
26079,2.00,0.01
26098,2.00,0.01
26119,0.00,0.01
26138,0.00,0.01
26158,1.00,0.01
26177,3.00,0.01
26198,2.00,0.01
26217,0.00,0.01
26236,0.00,0.01
26257,1.00,0.01
26276,2.00,0.01
26296,2.00,0.01
26316,0.00,0.01
26336,0.00,0.01
26355,0.00,0.01
26375,3.00,0.01
26395,2.00,0.01
26415,0.00,0.01
26434,0.00,0.01
26455,0.00,0.01
26474,2.00,0.01
26493,3.00,0.01
26514,0.00,0.01
26533,1.00,0.01
26553,0.00,0.01
26572,1.00,0.01
26593,3.00,0.01
26612,3.00,0.01
26632,1.00,0.01
26652,0.00,0.01
26672,0.00,0.01
26691,3.00,0.01
26712,3.00,0.01
26731,1.00,0.01
26750,0.00,0.01
26770,0.00,0.01
26790,1.00,0.01
26810,3.00,0.01
26829,2.00,0.01
26850,0.00,0.01
26869,0.00,0.01
26889,0.00,0.01
26908,3.00,0.01
26929,2.00,0.01
26948,1.00,0.01
26968,0.00,0.01
26988,0.00,0.01
27008,1.00,0.01
27027,2.00,0.01
27047,0.00,0.01
27067,1.00,0.01
27086,0.00,0.01
27106,1.00,0.01
27126,2.00,0.01
27146,0.00,0.01
27165,2.00,0.01
27186,0.00,0.01
27205,0.00,0.01
27225,1.00,0.01
27245,2.00,0.01
27265,0.00,0.01
27284,0.00,0.01
27303,0.00,0.01
27324,2.00,0.01
27343,1.00,0.01
27363,2.00,0.01
27383,0.00,0.01
27403,0.00,0.01
27422,1.00,0.01
27442,1.00,0.01
27462,2.00,0.01
27482,0.00,0.01
27501,0.00,0.01
27522,0.00,0.01
27541,1.00,0.01
27560,2.00,0.01
27581,2.00,0.01
27600,0.00,0.01
27620,0.00,0.01
27639,0.00,0.01
27660,2.00,0.01
27679,1.00,0.01
27699,1.00,0.01
27719,0.00,0.01
27739,1.00,0.01
27758,2.00,0.01
27779,2.00,0.01
27798,0.00,0.01
27817,0.00,0.01
27837,0.00,0.01
27857,1.00,0.01
27877,3.00,0.01
27896,2.00,0.01
27917,1.00,0.01
27936,0.00,0.01
27956,1.00,0.01
27976,2.00,0.01
27996,3.00,0.01
28015,2.00,0.01
28035,0.00,0.01
28055,0.00,0.01
28075,3.00,0.01
28094,1.00,0.01
28114,1.00,0.01
28134,0.00,0.01
28153,0.00,0.01
28173,2.00,0.01
28193,3.00,0.01
28213,2.00,0.01
28232,0.00,0.01
28253,0.00,0.01
28272,1.00,0.01
28292,3.00,0.01
28312,3.00,0.01
