time,rainfall,value
25862,627.00,10.00
25885,626.00,10.00
25908,625.00,10.00
25931,624.00,10.00
25954,842.00,10.00
25976,490.00,10.00
26000,1.00,10.00
26020,763.00,11.00
26043,762.00,11.00
26066,770.00,11.00
26089,774.00,11.00
26112,774.00,11.00
26135,776.00,11.00
26158,781.00,11.00
26180,783.00,11.00
26204,783.00,11.00
26226,783.00,11.00
26249,841.00,11.00
26272,21.00,11.00
26294,0.00,11.00
26314,1.00,11.00
26336,0.00,11.00
26356,0.00,11.00
26377,0.00,11.00
26398,0.00,11.00
26419,1.00,11.00
26439,0.00,11.00
26460,0.00,11.00
26481,0.00,11.00
26502,1.00,11.00
26522,863.00,12.00
26546,729.00,12.00
26568,664.00,12.00
26591,0.00,12.00
26612,0.00,12.00
26633,2.00,12.00
26653,0.00,12.00
26675,0.00,12.00
26695,0.00,12.00
26716,1.00,12.00
26737,0.00,12.00
26758,0.00,12.00
26778,0.00,12.00
26800,867.00,13.00
26822,695.00,13.00
26845,0.00,13.00
26866,2.00,13.00
26887,0.00,13.00
26907,0.00,13.00
26928,855.00,14.00
26951,767.00,14.00
26974,0.00,14.00
26994,0.00,14.00
27016,1.00,14.00
27036,0.00,14.00
27057,0.00,14.00
27078,868.00,15.00
27101,798.00,15.00
27123,725.00,15.00
27147,681.00,15.00
27169,0.00,15.00
27190,0.00,15.00
27211,0.00,15.00
27232,0.00,15.00
27252,0.00,15.00
27274,0.00,15.00
27294,0.00,15.00
27315,1.00,15.00
27336,1.00,15.00
27357,0.00,15.00
27377,0.00,15.00
27399,1.00,15.00
27419,1.00,15.00
27440,0.00,15.00
27460,0.00,15.00
27482,0.00,15.00
27502,0.00,15.00
27523,0.00,15.00
27544,0.00,15.00
27565,1.00,15.00
27585,1.00,15.00
27607,0.00,15.00
27627,0.00,15.00
27648,1.00,15.00
27669,0.00,15.00
27689,0.00,15.00
27710,0.00,15.00
27731,1.00,15.00
27752,0.00,15.00
27772,0.00,15.00
27793,0.00,15.00
27814,1.00,15.00
27835,1.00,15.00
27855,1.00,15.00
27877,0.00,15.00
27897,0.00,15.00
27918,1.00,15.00
27939,0.00,15.00
27960,0.00,15.00
27980,0.00,15.00
28002,1.00,15.00
28022,0.00,15.00
28043,0.00,15.00
28064,1.00,15.00
28085,0.00,15.00
28105,0.00,15.00
28126,0.00,15.00
28147,0.00,15.00
28168,1.00,15.00
28188,0.00,15.00
28210,0.00,15.00
28230,0.00,15.00
28251,2.00,15.00
28272,0.00,15.00
28293,0.00,15.00
28313,0.00,15.00
28335,1.00,15.00
28355,0.00,15.00
28376,0.00,15.00
28397,0.00,15.00
28418,1.00,15.00
28438,0.00,15.00
28459,0.00,15.00
28480,0.00,15.00
28500,0.00,15.00
28521,0.00,15.00
28542,0.00,15.00
28563,1.00,15.00
28583,3.00,15.00
28605,0.00,15.00
28625,0.00,15.00
28646,0.00,15.00
28667,0.00,15.00
28688,0.00,15.00
28708,0.00,15.00
28730,0.00,15.00
28750,1.00,15.00
28771,0.00,15.00
28791,0.00,15.00
28813,0.00,15.00
28833,0.00,15.00
28854,0.00,15.00
28875,0.00,15.00
28896,0.00,15.00
28916,1.00,15.00
28938,0.00,15.00
28958,0.00,15.00
28979,1.00,15.00
29000,1.00,15.00
29021,0.00,15.00
29041,0.00,15.00
29063,0.00,15.00
29083,2.00,15.00
29104,0.00,15.00
29124,0.00,15.00
29146,0.00,15.00
29166,1.00,15.00
29187,0.00,15.00
29208,0.00,15.00
29229,0.00,15.00
29249,2.00,15.00
29271,0.00,15.00
29291,0.00,15.00
29312,0.00,15.00
29333,2.00,15.00
29353,0.00,15.00
29374,0.00,15.00
29395,0.00,15.00
29416,1.00,15.00
29436,0.00,15.00
29457,0.00,15.00
29478,0.00,15.00
29499,1.00,15.00
29519,0.00,15.00
29541,0.00,15.00
29561,0.00,15.00
29582,0.00,15.00
29603,0.00,15.00
29624,0.00,15.00
29644,0.00,15.00
29666,0.00,15.00
29686,0.00,15.00
29707,0.00,15.00
29728,0.00,15.00
29749,1.00,15.00
29769,1.00,15.00
29790,0.00,15.00
29811,0.00,15.00
29832,1.00,15.00
29852,0.00,15.00
29874,0.00,15.00
29894,0.00,15.00
29915,1.00,15.00
29936,0.00,15.00
29957,0.00,15.00
29977,0.00,15.00
29999,1.00,15.00
30019,1.00,15.00
30040,0.00,15.00
30061,0.00,15.00
30082,0.00,15.00
30102,1.00,15.00
30123,0.00,15.00
30144,0.00,15.00
30164,2.00,15.00
30185,0.00,15.00
30206,0.00,15.00
30227,0.00,15.00
30247,1.00,15.00
30269,0.00,15.00
30289,0.00,15.00
30310,0.00,15.00
30331,1.00,15.00
30352,0.00,15.00
30372,0.00,15.00
30394,0.00,15.00
30414,1.00,15.00
30435,1.00,15.00
30455,0.00,15.00
30477,0.00,15.00
30497,1.00,15.00
30518,0.00,15.00
30539,0.00,15.00
30560,0.00,15.00
30580,0.00,15.00
30602,0.00,15.00
30622,1.00,15.00
30643,0.00,15.00
30664,1.00,15.00
30685,1.00,15.00
30705,0.00,15.00
30727,0.00,15.00
30747,1.00,15.00
30768,0.00,15.00
30788,0.00,15.00
